unique_id,ds,y
global,2026-03-20,4
global,2026-03-21,5
global,2026-03-23,1
global,2026-03-24,7
global,2026-03-25,26
global,2026-03-26,5
global,2026-03-27,3
global,2026-03-28,20
global,2026-03-29,36
global,2026-03-30,1
global,2026-03-31,28
global,2026-04-01,13
global,2026-04-02,4
global,2026-04-03,11
global,2026-04-04,12
global,2026-04-05,9
global,2026-04-06,3
global,2026-04-07,16
global,2026-04-08,8
global,2026-04-09,10
global,2026-04-10,8
global,2026-04-11,33
global,2026-04-12,20
global,2026-04-13,6
global,2026-04-14,6
global,2026-04-15,13
global,2026-04-16,5
global,2026-04-17,14
global,2026-04-18,24
global,2026-04-19,12
global,2026-04-20,1
global,2026-04-21,2
global,2026-04-22,1
global,2026-04-23,1
global,2026-04-24,6
global,2026-04-25,11
global,2026-04-26,5
global,2026-04-27,9
global,2026-04-28,6
global,2026-04-29,13
global,2026-04-30,4
global,2026-05-01,12
global,2026-05-02,17
global,2026-05-03,22
global,2026-05-04,2
global,2026-05-05,6
global,2026-05-06,5
global,2026-05-07,1
global,2026-05-08,13
global,2026-05-09,10
global,2026-05-10,7
global,2026-05-11,1
global,2026-05-12,11
global,2026-05-13,8
global,2026-05-14,4
global,2026-05-15,6
global,2026-05-16,22
global,2026-05-17,10
global,2026-05-18,10
global,2026-05-19,8
global,2026-05-20,9
global,2026-05-21,2
global,2026-05-22,15
global,2026-05-23,16
global,2026-05-24,15
global,2026-05-25,20
global,2026-05-26,13
global,2026-05-27,27
global,2026-05-28,6
global,2026-05-29,16
global,2026-05-30,22
global,2026-05-31,8
