unique_id,ds,y
countries_cumulative,2026-03-20,0
countries_cumulative,2026-03-21,0
countries_cumulative,2026-03-23,0
countries_cumulative,2026-03-24,2
countries_cumulative,2026-03-25,10
countries_cumulative,2026-03-26,11
countries_cumulative,2026-03-27,13
countries_cumulative,2026-03-28,17
countries_cumulative,2026-03-29,21
countries_cumulative,2026-03-30,22
countries_cumulative,2026-03-31,23
countries_cumulative,2026-04-01,24
countries_cumulative,2026-04-02,24
countries_cumulative,2026-04-03,25
countries_cumulative,2026-04-04,27
countries_cumulative,2026-04-05,28
countries_cumulative,2026-04-06,28
countries_cumulative,2026-04-07,29
countries_cumulative,2026-04-08,30
countries_cumulative,2026-04-09,30
countries_cumulative,2026-04-10,30
countries_cumulative,2026-04-11,32
countries_cumulative,2026-04-12,32
countries_cumulative,2026-04-13,32
countries_cumulative,2026-04-14,32
countries_cumulative,2026-04-15,34
countries_cumulative,2026-04-16,34
countries_cumulative,2026-04-17,34
countries_cumulative,2026-04-18,35
countries_cumulative,2026-04-19,35
countries_cumulative,2026-04-20,36
countries_cumulative,2026-04-21,36
countries_cumulative,2026-04-22,36
countries_cumulative,2026-04-23,37
countries_cumulative,2026-04-24,37
countries_cumulative,2026-04-25,37
countries_cumulative,2026-04-26,37
countries_cumulative,2026-04-27,37
countries_cumulative,2026-04-28,37
countries_cumulative,2026-04-29,38
countries_cumulative,2026-04-30,39
countries_cumulative,2026-05-01,40
countries_cumulative,2026-05-02,40
countries_cumulative,2026-05-03,40
countries_cumulative,2026-05-04,41
countries_cumulative,2026-05-05,41
countries_cumulative,2026-05-06,42
countries_cumulative,2026-05-07,43
countries_cumulative,2026-05-08,44
countries_cumulative,2026-05-09,45
countries_cumulative,2026-05-10,45
countries_cumulative,2026-05-11,46
countries_cumulative,2026-05-12,48
countries_cumulative,2026-05-13,48
countries_cumulative,2026-05-14,48
countries_cumulative,2026-05-15,48
countries_cumulative,2026-05-16,48
countries_cumulative,2026-05-17,48
countries_cumulative,2026-05-18,48
countries_cumulative,2026-05-19,48
countries_cumulative,2026-05-20,48
countries_cumulative,2026-05-21,49
countries_cumulative,2026-05-22,49
countries_cumulative,2026-05-23,50
countries_cumulative,2026-05-24,50
countries_cumulative,2026-05-25,51
countries_cumulative,2026-05-26,51
countries_cumulative,2026-05-27,52
countries_cumulative,2026-05-28,53
countries_cumulative,2026-05-29,53
countries_cumulative,2026-05-30,53
countries_cumulative,2026-05-31,53
