Timestamp,Event_Type,Game_Product,Score_Or_Result,Partner_Type,Location,Device_Browser,Session_ID,Is_Returning_User,Duration_Seconds
2026-08-23T19:12:33.252931+00:00,game_finished,PUBLIC-APP,3-1,social,"Riverside, US (America/Los_Angeles) [33.9764,-117.3341]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,b7e9c88a-ed35-4bd6-8029-7cac424e01f0,Yes,143
2026-08-23T19:12:32.993535+00:00,game_details,PUBLIC-APP,"{""duration"":137,""goals"":[{""p"":1,""t"":23},{""p"":1,""t""",social,"Riverside, US (America/Los_Angeles) [33.9764,-117.3341]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,b7e9c88a-ed35-4bd6-8029-7cac424e01f0,Yes,
2026-08-23T19:10:11.583213+00:00,app_opened,PUBLIC-APP,-,social,"Riverside, US (America/Los_Angeles) [33.9764,-117.3341]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,b7e9c88a-ed35-4bd6-8029-7cac424e01f0,No,
2026-08-23T19:06:47.197013+00:00,game_details,DOCK-1-SERIE001,"{""duration"":43,""goals"":[{""p"":2,""t"":5},{""p"":1,""t"":1",social,"Atlanta, US (America/New_York) [33.7855,-84.3612]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,1d9376d8-7155-4a4a-9b06-b4d5f2c2abf6,Yes,
2026-08-23T19:06:47.192255+00:00,game_finished,DOCK-1-SERIE001,3-2,social,"Atlanta, US (America/New_York) [33.7855,-84.3612]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,1d9376d8-7155-4a4a-9b06-b4d5f2c2abf6,Yes,169
2026-08-23T19:06:02.023849+00:00,game_finished,DOCK-1-SERIE001,0-3,social,"Atlanta, US (America/New_York) [33.7855,-84.3612]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,1d9376d8-7155-4a4a-9b06-b4d5f2c2abf6,Yes,123
2026-08-23T19:06:01.950775+00:00,game_details,DOCK-1-SERIE001,"{""duration"":29,""goals"":[{""p"":2,""t"":11},{""p"":2,""t"":",social,"Atlanta, US (America/New_York) [33.7855,-84.3612]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,1d9376d8-7155-4a4a-9b06-b4d5f2c2abf6,Yes,
2026-08-23T19:05:31.474318+00:00,game_details,DOCK-1-SERIE001,"{""duration"":89,""goals"":[{""p"":2,""t"":35},{""p"":1,""t"":",social,"Atlanta, US (America/New_York) [33.7855,-84.3612]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,1d9376d8-7155-4a4a-9b06-b4d5f2c2abf6,Yes,
2026-08-23T19:05:31.450353+00:00,game_finished,DOCK-1-SERIE001,3-1,social,"Atlanta, US (America/New_York) [33.7855,-84.3612]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,1d9376d8-7155-4a4a-9b06-b4d5f2c2abf6,No,93
2026-08-23T19:03:58.319547+00:00,app_opened,DOCK-1-SERIE001,-,social,"Atlanta, US (America/New_York) [33.7855,-84.3612]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,439d684e-08a7-4304-8f3d-0ce3fddbbda2,No,
2026-08-23T18:58:06.384771+00:00,app_opened,PUBLIC-APP,-,social,"US (America/Chicago) [41.8483,-87.6517]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,dacc7a53-b179-4cb2-802d-bed98239aaeb,No,
2026-08-23T18:55:08.497+00:00,app_opened,Subsoccer GO,-,digital,FI,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like ",,No,
2026-08-23T18:30:01.968541+00:00,app_opened,PUBLIC-APP,-,social,"Austin, US (America/Chicago) [30.3643,-97.6864]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,3d1d2a13-15f0-45a9-9513-cc58a3c13a0c,No,
2026-08-23T18:12:33.121883+00:00,game_details,PUBLIC-APP,"{""duration"":90,""goals"":[{""p"":1,""t"":31},{""p"":2,""t"":",social,"Indianapolis, US (America/Indiana/Indianapolis) [39.9012,-86.1717]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,c36cd923-f7d4-422f-8730-243d7f6156f5,Yes,
2026-08-23T18:12:33.093378+00:00,game_finished,PUBLIC-APP,1-3,social,"Indianapolis, US (America/Indiana/Indianapolis) [39.9012,-86.1717]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,c36cd923-f7d4-422f-8730-243d7f6156f5,Yes,343
2026-08-23T18:11:02.239846+00:00,game_finished,PUBLIC-APP,3-0,social,"Indianapolis, US (America/Indiana/Indianapolis) [39.9012,-86.1717]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,c36cd923-f7d4-422f-8730-243d7f6156f5,Yes,252
2026-08-23T18:11:02.0154+00:00,game_details,PUBLIC-APP,"{""duration"":47,""goals"":[{""p"":1,""t"":16},{""p"":1,""t"":",social,"Indianapolis, US (America/Indiana/Indianapolis) [39.9012,-86.1717]",Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT,c36cd923-f7d4-422f-8730-243d7f6156f5,Yes,
